algoritmo, tipo, tamanho, trocas, comparacoes, tempo
ISBL, R, 100, 2294, 2195, 2
ISBL, O, 100, 99, 0, 0
ISBL, I, 100, 5049, 4950, 8
ISBB, R, 100, 2468, 651, 2
ISBB, O, 100, 299, 674, 0
ISBB, I, 100, 5087, 617, 3
SheS, R, 100, 898, 401, 1
SheS, O, 100, 503, 6, 1
SheS, I, 100, 763, 266, 1
BubS, R, 100, 2195, 4776, 4
BubS, O, 100, 0, 99, 0
BubS, I, 100, 4950, 4950, 3
QukS, R, 100, 69, 69, 0
QukS, O, 100, 92, 92, 2
QukS, I, 100, 36, 36, 1
SelS, R, 100, 93, 295, 1
SelS, O, 100, 0, 0, 1
SelS, I, 100, 50, 2500, 1
HepS, R, 100, 236, 320, 1
HepS, O, 100, 247, 377, 2
HepS, I, 100, 197, 234, 1
TimS, R, 100, 752, 952, 0
TimS, O, 100, 200, 307, 0
TimS, I, 100, 1400, 1507, 1
MerS, R, 100, 672, 1748, 1
MerS, O, 100, 672, 1304, 1
MerS, I, 100, 672, 1384, 1
ISBL, R, 500, 61460, 60961, 27
ISBL, O, 500, 499, 0, 0
ISBL, I, 500, 125249, 124750, 39
ISBB, R, 500, 62333, 4385, 15
ISBB, O, 500, 1499, 4490, 3
ISBB, I, 500, 125495, 4243, 35
SheS, R, 500, 6751, 3253, 4
SheS, O, 500, 3506, 8, 1
SheS, I, 500, 5606, 2108, 3
BubS, R, 500, 60961, 124292, 39
BubS, O, 500, 0, 499, 1
BubS, I, 500, 124750, 124750, 59
QukS, R, 500, 93, 93, 4
QukS, O, 500, 320, 320, 4
QukS, I, 500, 381, 381, 4
SelS, R, 500, 495, 2258, 11
SelS, O, 500, 0, 0, 12
SelS, I, 500, 250, 62500, 20
HepS, R, 500, 1194, 1666, 7
HepS, O, 500, 1247, 1985, 5
HepS, I, 500, 997, 1202, 9
TimS, R, 500, 5768, 7759, 4
TimS, O, 500, 2000, 3047, 3
TimS, I, 500, 9630, 10629, 6
MerS, R, 500, 4488, 12192, 3
MerS, O, 500, 4488, 8920, 2
MerS, I, 500, 4488, 9032, 4
ISBL, R, 1000, 245949, 244950, 70
ISBL, O, 1000, 999, 0, 1
ISBL, I, 1000, 500499, 499500, 124
ISBB, R, 1000, 247657, 9770, 50
ISBB, O, 1000, 2999, 9978, 5
ISBB, I, 1000, 500989, 9476, 129
SheS, R, 1000, 15952, 7955, 6
SheS, O, 1000, 8006, 9, 7
SheS, I, 1000, 12706, 4709, 12
BubS, R, 1000, 244950, 497205, 210
BubS, O, 1000, 0, 999, 1
BubS, I, 1000, 499500, 499500, 311
QukS, R, 1000, 760, 760, 4
QukS, O, 1000, 78, 78, 4
QukS, I, 1000, 73, 73, 8
SelS, R, 1000, 996, 5464, 60
SelS, O, 1000, 0, 0, 58
SelS, I, 1000, 500, 250000, 62
HepS, R, 1000, 2400, 3351, 15
HepS, O, 1000, 2496, 3976, 16
HepS, I, 1000, 1996, 2411, 13
TimS, R, 1000, 12573, 17552, 12
TimS, O, 1000, 5000, 7601, 4
TimS, I, 1000, 20404, 22885, 28
MerS, R, 1000, 9976, 27382, 18
MerS, O, 1000, 9976, 19840, 19
MerS, I, 1000, 9976, 20064, 16
ISBL, R, 5000, 6346278, 6341279, 2125
ISBL, O, 5000, 4999, 0, 4
ISBL, I, 5000, 12502490, 12497491, 3936
ISBB, R, 5000, 6357477, 60306, 1261
ISBB, O, 5000, 15007, 61800, 45
ISBB, I, 5000, 12504545, 58867, 2558
SheS, R, 5000, 118899, 63906, 58
SheS, O, 5000, 55005, 12, 33
SheS, I, 5000, 83780, 28787, 37
BubS, R, 5000, 6341279, 12463127, 4436
BubS, O, 5000, 0, 4999, 2
BubS, I, 5000, 12497491, 12497500, 6331
QukS, R, 5000, 2095, 2095, 54
QukS, O, 5000, 3655, 3655, 28
QukS, I, 5000, 3801, 3801, 44
SelS, R, 5000, 4992, 34794, 1130
SelS, O, 5000, 0, 0, 1412
SelS, I, 5000, 2509, 6240823, 1694
HepS, R, 5000, 11938, 16629, 61
HepS, O, 5000, 12497, 19536, 60
HepS, I, 5000, 9996, 12074, 68
TimS, R, 5000, 63935, 103617, 36
TimS, O, 5000, 39920, 60445, 25
TimS, I, 5000, 87411, 107336, 48
MerS, R, 5000, 61808, 172254, 49
MerS, O, 5000, 61808, 121428, 38
MerS, I, 5000, 61808, 125816, 37
ISBL, R, 10000, 25206455, 25196456, 7813
ISBL, O, 10000, 9999, 0, 4
ISBL, I, 10000, 50004971, 49994972, 13096
ISBB, R, 10000, 25226919, 130511, 5473
ISBB, O, 10000, 30026, 133589, 60
ISBB, I, 10000, 50009086, 127717, 8962
SheS, R, 10000, 277178, 157186, 96
SheS, O, 10000, 120005, 13, 40
SheS, I, 10000, 182553, 62561, 72
BubS, R, 10000, 25196456, 49966728, 19082
BubS, O, 10000, 0, 9999, 1
BubS, I, 10000, 49994972, 49995000, 21188
QukS, R, 10000, 8341, 8341, 57
QukS, O, 10000, 1456, 1456, 57
QukS, I, 10000, 8900, 8900, 55
SelS, R, 10000, 9986, 77358, 3892
SelS, O, 10000, 0, 0, 4159
SelS, I, 10000, 5021, 24937576, 6482
HepS, R, 10000, 23960, 33472, 171
HepS, O, 10000, 24997, 39080, 147
HepS, I, 10000, 19997, 24151, 158
TimS, R, 10000, 137389, 226767, 145
TimS, O, 10000, 89840, 135877, 63
TimS, I, 10000, 184815, 229655, 112
MerS, R, 10000, 133616, 374522, 90
MerS, O, 10000, 133616, 262868, 85
MerS, I, 10000, 133616, 271632, 96
