algoritmo, tipo, tamanho, trocas, comparacoes, tempo
ISBL, R, 100, 2294, 2195, 0
ISBL, O, 100, 99, 0, 1
ISBL, I, 100, 5049, 4950, 1
ISBB, R, 100, 2468, 651, 0
ISBB, O, 100, 299, 674, 0
ISBB, I, 100, 5087, 617, 0
SheS, R, 100, 898, 401, 0
SheS, O, 100, 503, 6, 0
SheS, I, 100, 763, 266, 1
BubS, R, 100, 2195, 4776, 2
BubS, O, 100, 0, 99, 0
BubS, I, 100, 4950, 4950, 2
QukS, R, 100, 45, 45, 0
QukS, O, 100, 65, 65, 1
QukS, I, 100, 47, 47, 1
SelS, R, 100, 93, 295, 1
SelS, O, 100, 0, 0, 0
SelS, I, 100, 50, 2500, 1
HepS, R, 100, 236, 320, 0
HepS, O, 100, 247, 377, 1
HepS, I, 100, 197, 234, 0
TimS, R, 100, 752, 952, 0
TimS, O, 100, 200, 307, 1
TimS, I, 100, 1400, 1507, 1
MerS, R, 100, 672, 1748, 1
MerS, O, 100, 672, 1304, 1
MerS, I, 100, 672, 1384, 1
ISBL, R, 500, 61460, 60961, 14
ISBL, O, 500, 499, 0, 0
ISBL, I, 500, 125249, 124750, 33
ISBB, R, 500, 62333, 4385, 12
ISBB, O, 500, 1499, 4490, 2
ISBB, I, 500, 125495, 4243, 20
SheS, R, 500, 6751, 3253, 2
SheS, O, 500, 3506, 8, 1
SheS, I, 500, 5606, 2108, 1
BubS, R, 500, 60961, 124292, 45
BubS, O, 500, 0, 499, 0
BubS, I, 500, 124750, 124750, 65
QukS, R, 500, 148, 148, 3
QukS, O, 500, 451, 451, 1
QukS, I, 500, 488, 488, 3
SelS, R, 500, 495, 2258, 9
SelS, O, 500, 0, 0, 12
SelS, I, 500, 250, 62500, 17
HepS, R, 500, 1194, 1666, 5
HepS, O, 500, 1247, 1985, 5
HepS, I, 500, 997, 1202, 4
TimS, R, 500, 5768, 7759, 2
TimS, O, 500, 2000, 3047, 1
TimS, I, 500, 9630, 10629, 4
MerS, R, 500, 4488, 12192, 3
MerS, O, 500, 4488, 8920, 3
MerS, I, 500, 4488, 9032, 3
ISBL, R, 1000, 245949, 244950, 64
ISBL, O, 1000, 999, 0, 2
ISBL, I, 1000, 500499, 499500, 119
ISBB, R, 1000, 247657, 9770, 43
ISBB, O, 1000, 2999, 9978, 4
ISBB, I, 1000, 500989, 9476, 116
SheS, R, 1000, 15952, 7955, 6
SheS, O, 1000, 8006, 9, 4
SheS, I, 1000, 12706, 4709, 3
BubS, R, 1000, 244950, 497205, 205
BubS, O, 1000, 0, 999, 0
BubS, I, 1000, 499500, 499500, 351
QukS, R, 1000, 717, 717, 8
QukS, O, 1000, 452, 452, 7
QukS, I, 1000, 216, 216, 10
SelS, R, 1000, 996, 5464, 103
SelS, O, 1000, 0, 0, 85
SelS, I, 1000, 500, 250000, 120
HepS, R, 1000, 2400, 3351, 15
HepS, O, 1000, 2496, 3976, 25
HepS, I, 1000, 1996, 2411, 22
TimS, R, 1000, 12573, 17552, 17
TimS, O, 1000, 5000, 7601, 8
TimS, I, 1000, 20404, 22885, 19
MerS, R, 1000, 9976, 27382, 11
MerS, O, 1000, 9976, 19840, 8
MerS, I, 1000, 9976, 20064, 10
ISBL, R, 5000, 6346278, 6341279, 2849
ISBL, O, 5000, 4999, 0, 3
ISBL, I, 5000, 12502490, 12497491, 4672
ISBB, R, 5000, 6357477, 60306, 1336
ISBB, O, 5000, 15007, 61800, 25
ISBB, I, 5000, 12504545, 58867, 3114
SheS, R, 5000, 118899, 63906, 93
SheS, O, 5000, 55005, 12, 32
SheS, I, 5000, 83780, 28787, 53
BubS, R, 5000, 6341279, 12463127, 4400
BubS, O, 5000, 0, 4999, 1
BubS, I, 5000, 12497491, 12497500, 5339
QukS, R, 5000, 1933, 1933, 28
QukS, O, 5000, 2388, 2388, 23
QukS, I, 5000, 2126, 2126, 24
SelS, R, 5000, 4992, 34794, 1090
SelS, O, 5000, 0, 0, 1140
SelS, I, 5000, 2509, 6240823, 1279
HepS, R, 5000, 11938, 16629, 42
HepS, O, 5000, 12497, 19536, 70
HepS, I, 5000, 9996, 12074, 46
TimS, R, 5000, 63935, 103617, 35
TimS, O, 5000, 39920, 60445, 21
TimS, I, 5000, 87411, 107336, 51
MerS, R, 5000, 61808, 172254, 38
MerS, O, 5000, 61808, 121428, 41
MerS, I, 5000, 61808, 125816, 66
ISBL, R, 10000, 25206455, 25196456, 7185
ISBL, O, 10000, 9999, 0, 4
ISBL, I, 10000, 50004971, 49994972, 17866
ISBB, R, 10000, 25226919, 130511, 6783
ISBB, O, 10000, 30026, 133589, 97
ISBB, I, 10000, 50009086, 127717, 9617
SheS, R, 10000, 277178, 157186, 98
SheS, O, 10000, 120005, 13, 46
SheS, I, 10000, 182553, 62561, 69
BubS, R, 10000, 25196456, 49966728, 16273
BubS, O, 10000, 0, 9999, 5
BubS, I, 10000, 49994972, 49995000, 28159
QukS, R, 10000, 9953, 9953, 55
QukS, O, 10000, 405, 405, 47
QukS, I, 10000, 4560, 4560, 54
SelS, R, 10000, 9986, 77358, 3903
SelS, O, 10000, 0, 0, 3576
SelS, I, 10000, 5021, 24937576, 5521
HepS, R, 10000, 23960, 33472, 204
HepS, O, 10000, 24997, 39080, 200
HepS, I, 10000, 19997, 24151, 101
TimS, R, 10000, 137389, 226767, 90
TimS, O, 10000, 89840, 135877, 39
TimS, I, 10000, 184815, 229655, 91
MerS, R, 10000, 133616, 374522, 87
MerS, O, 10000, 133616, 262868, 55
MerS, I, 10000, 133616, 271632, 93
